symbol,yahoo_symbol,name,reason,avg_dollar_volume_30d_usd,valid_days
AAA,AAA,Alternative Access First Priority CLO Bond ETF,avg_dollar_volume_30d_below_15m_usd,373720.29,41
AAAA,AAAA,Amplius Aggressive Asset Allocation ETF,avg_dollar_volume_30d_below_15m_usd,149583.33,41
AAAC,AAAC,Columbia AAA CLO ETF,avg_dollar_volume_30d_below_15m_usd,3876.43,40
AAAD,AAAD,PGIM AAA CLO Aggregate Duration ETF,avg_dollar_volume_30d_below_15m_usd,11003.8,25
AAAP,AAAP,Pacer Barings CLO Market Flex ETF,avg_dollar_volume_30d_below_15m_usd,3721646.08,11
AADR,AADR,AdvisorShares Dorsey Wright ADR ETF,avg_dollar_volume_30d_below_15m_usd,168993.37,40
AAEQ,AAEQ,Alpha Architect US Equity 2 ETF,avg_dollar_volume_30d_below_15m_usd,45354.84,40
AALG,AALG,Leverage Shares 2X Long AAL Daily ETF,avg_dollar_volume_30d_below_15m_usd,611620.59,41
AAME,AAME,Atlantic American Corporation - Common Stock,avg_dollar_volume_30d_below_15m_usd,30964.1,40
AAOG,AAOG,Leverage Shares 2X Long AAOI Daily ETF,avg_dollar_volume_30d_below_15m_usd,11323530.62,40
AAPB,AAPB,GraniteShares 2x Long AAPL Daily ETF,avg_dollar_volume_30d_below_15m_usd,1916585.92,41
AAPE,AAPE,Leverage Shares 2X Long AAPL Daily ETF,avg_dollar_volume_30d_below_15m_usd,6690.47,3
AAPR,AAPR,Innovator Equity Defined Protection ETF - 2 Yr to April 2028,avg_dollar_volume_30d_below_15m_usd,127613.17,41
AAPW,AAPW,Roundhill AAPL WeeklyPay ETF,avg_dollar_volume_30d_below_15m_usd,707095.98,41
AAPX,AAPX,T-Rex 2X Long Apple Daily Target ETF,avg_dollar_volume_30d_below_15m_usd,1284756.22,41
AAPY,AAPY,Kurv Yield Premium Strategy Apple (AAPL) ETF,avg_dollar_volume_30d_below_15m_usd,147799.92,41
AARD,AARD,"Aardvark Therapeutics, Inc. - Common Stock",avg_dollar_volume_30d_below_15m_usd,973600.63,41
AAUA,AAUA,Alpha Architect US Equity 3 ETF,avg_dollar_volume_30d_below_15m_usd,50378.25,41
AAUC,AAUC,Allied Gold Corporation Common Shares,avg_dollar_volume_30d_below_15m_usd,12798971.88,41
AAUS,AAUS,Alpha Architect US Equity ETF,avg_dollar_volume_30d_below_15m_usd,87814.5,40
AAVM,AAVM,Alpha Architect Global Factor Equity ETF,avg_dollar_volume_30d_below_15m_usd,33979.01,40
ABCS,ABCS,Alpha Blue Capital US Small-Mid Cap Dynamic ETF,avg_dollar_volume_30d_below_15m_usd,62000.26,41
ABEO,ABEO,Abeona Therapeutics Inc. - Common Stock,avg_dollar_volume_30d_below_15m_usd,7244342.33,41
ABEQ,ABEQ,Absolute Select Value ETF,avg_dollar_volume_30d_below_15m_usd,474298.44,41
ABFL,ABFL,Abacus FCF Leaders ETF,avg_dollar_volume_30d_below_15m_usd,1011429.62,41
ABI,ABI,VictoryShares Pioneer Asset-Based Income ETF,avg_dollar_volume_30d_below_15m_usd,5304.72,40
ABIG,ABIG,Argent Large Cap ETF,avg_dollar_volume_30d_below_15m_usd,57943.32,40
ABLD,ABLD,Abacus FCF Real Assets Leaders ETF,avg_dollar_volume_30d_below_15m_usd,203447.37,41
ABLG,ABLG,Abacus FCF International Leaders ETF,avg_dollar_volume_30d_below_15m_usd,80085.05,41
ABLS,ABLS,Abacus FCF Small Cap Leaders ETF,avg_dollar_volume_30d_below_15m_usd,29802.83,41
ABLV,ABLV,Able View Global Inc. - Class B Ordinary Shares,avg_dollar_volume_30d_below_15m_usd,115134.47,41
ABNG,ABNG,Leverage Shares 2x Long ABNB Daily ETF,avg_dollar_volume_30d_below_15m_usd,41612.53,41
ABOS,ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",avg_dollar_volume_30d_below_15m_usd,1341879.57,41
ABOT,ABOT,Abacus FCF Innovation Leaders ETF,avg_dollar_volume_30d_below_15m_usd,16860.69,41
ABTC,ABTC,American Bitcoin Corp. - Class A Common Stock,avg_dollar_volume_30d_below_15m_usd,13058450.08,41
ABTS,ABTS,Abits Group Inc - Ordinary Shares,avg_dollar_volume_30d_below_15m_usd,9182527.39,41
ABUF,ABUF,Aptus Laddered Buffer ETF,avg_dollar_volume_30d_below_15m_usd,203351.09,41
ABUS,ABUS,Arbutus Biopharma Corporation - Common Stock,avg_dollar_volume_30d_below_15m_usd,11257532.23,41
ABVC,ABVC,"ABVC BioPharma, Inc. - Common Stock",avg_dollar_volume_30d_below_15m_usd,263301.15,41
ABX,ABX,"Abacus Global Management, Inc. Class A Common Stock",avg_dollar_volume_30d_below_15m_usd,6165515.63,41
ABXB,ABXB,Abacus Flexible Bond Leaders ETF,avg_dollar_volume_30d_below_15m_usd,10569.85,41
ACB,ACB,Aurora Cannabis Inc. - Common Shares,avg_dollar_volume_30d_below_15m_usd,3279560.75,41
ACCL,ACCL,Acco Group Holdings Limited - Class A Ordinary Shares,avg_dollar_volume_30d_below_15m_usd,1273381.95,41
ACCO,ACCO,Acco Brands Corporation Common Stock,avg_dollar_volume_30d_below_15m_usd,3587794.26,41
ACCS,ACCS,ACCESS Newswire Inc. Common Stock,avg_dollar_volume_30d_below_15m_usd,113894.1,41
ACDC,ACDC,ProFrac Holding Corp. - Class A Common Stock,avg_dollar_volume_30d_below_15m_usd,9132449.89,41
ACEI,ACEI,Innovator Equity Autocallable Income Strategy ETF,avg_dollar_volume_30d_below_15m_usd,566094.33,41
ACEP,ACEP,ARS Core Equity Portfolio ETF,avg_dollar_volume_30d_below_15m_usd,67652.9,40
ACES,ACES,ALPS Clean Energy ETF,avg_dollar_volume_30d_below_15m_usd,3246190.62,41
ACET,ACET,"Adicet Bio, Inc. - Common Stock",avg_dollar_volume_30d_below_15m_usd,751828.33,41
ACFN,ACFN,"Acorn Energy, Inc. - Common Stock",avg_dollar_volume_30d_below_15m_usd,144001.73,40
ACGO,ACGO,Hartford Alpha Capture Growth ETF,avg_dollar_volume_30d_below_15m_usd,1200624.44,25
ACGR,ACGR,American Century Large Cap Growth ETF,avg_dollar_volume_30d_below_15m_usd,20503.93,41
ACH,ACH,"Accendra Health, Inc. Common Stock",avg_dollar_volume_30d_below_15m_usd,2231422.02,41
ACHV,ACHV,"Achieve Life Sciences, Inc.  - Common Shares",avg_dollar_volume_30d_below_15m_usd,13183744.87,41
ACHX,ACHX,Corgi ACHR 2x Daily ETF,avg_dollar_volume_30d_below_15m_usd,37101.75,7
ACIC,ACIC,American Coastal Insurance Corporation - Common Stock,avg_dollar_volume_30d_below_15m_usd,3497256.82,41
ACII,ACII,Innovator Index Autocallable Income Strategy ETF,avg_dollar_volume_30d_below_15m_usd,1887333.5,41
ACIO,ACIO,Aptus Collared Investment Opportunity ETF,avg_dollar_volume_30d_below_15m_usd,5816488.18,41
ACIU,ACIU,AC Immune SA - Common Stock,avg_dollar_volume_30d_below_15m_usd,727379.79,41
ACKY,ACKY,VistaShares Target 15 ACKtivist Distribution ETF,avg_dollar_volume_30d_below_15m_usd,590841.11,41
ACLC,ACLC,American Century Large Cap Equity ETF,avg_dollar_volume_30d_below_15m_usd,1387132.84,41
ACLO,ACLO,TCW AAA CLO ETF,avg_dollar_volume_30d_below_15m_usd,1565673.91,41
ACLZ,ACLZ,Corgi ACLS 2x Daily ETF,avg_dollar_volume_30d_below_15m_usd,38246.15,11
ACMM,ACMM,Corgi ACMR 2x Daily ETF,avg_dollar_volume_30d_below_15m_usd,394893.43,11
ACNB,ACNB,ACNB Corporation - Common Stock,avg_dollar_volume_30d_below_15m_usd,4123733.77,41
ACNT,ACNT,Ascent Industries Co. - Common Stock,avg_dollar_volume_30d_below_15m_usd,1316092.89,41
ACOG,ACOG,Alpha Cognition Inc. - Common Stock,avg_dollar_volume_30d_below_15m_usd,293833.89,41
ACOM,ACOM,Harbor Active Commodity ETF,avg_dollar_volume_30d_below_15m_usd,361663.63,14
ACON,ACON,"Aclarion, Inc. - Common Stock",avg_dollar_volume_30d_below_15m_usd,290301.11,41
ACR,ACR,ACRES Commercial Realty Corp. Common Stock,avg_dollar_volume_30d_below_15m_usd,747963.96,41
ACRE,ACRE,Ares Commercial Real Estate Corporation Common Stock,avg_dollar_volume_30d_below_15m_usd,2095417.59,41
ACRS,ACRS,"Aclaris Therapeutics, Inc. - Common Stock",avg_dollar_volume_30d_below_15m_usd,8445353.21,41
